ROWID,fir_number,brief_facts,crime_category,date_reported,district,police_station,status,latitude,longitude,gravity,crime_major_head,crime_minor_head,court_name,incident_from_date,incident_to_date,info_received_date
2289,WHTF-0051/2026,"On 30/06/2026 around 6:00 PM, the complainant was walking near the temple street in Whitefield when two unidentified men on a red Splendor motorcycle approached from behind and snatched her gold chain of 18 grams worth Rs. 235,000. The riders sped away towards Indiranagar before anyone could note the registration number.",FIR,2026-07-04,Bengaluru City,Whitefield PS,Charge Sheeted,12.987758,77.630312,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2026-06-30 18:06:00,2026-06-30 18:41:00,2026-07-02 14:39:21
2290,YSHW-0034/2026,"On 30/06/2026 around 8:45 AM, an elderly woman on her morning walk near the market road, Yeshwanthpur was targeted by a chain snatcher on a red Splendor motorcycle who fled towards the Koramangala ring road with her gold chain worth Rs. 67,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2026-07-01,Bengaluru City,Yeshwanthpur PS,Under Investigation,13.035841,77.560349,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2026-06-30 08:20:00,2026-06-30 09:02:00,2026-07-01 18:09:19
2291,ULLL-0013/2026,"On 01/07/2026, the complainant reported that morphed photographs of her were being circulated on social media by an account demanding money to take them down. She resides in Ullal and suspects a former colleague. Preservation requests have been sent to the platform.",FIR,2026-07-02,Mangaluru,Ullal PS,Under Investigation,12.96861,74.820534,Non-Heinous,Cyber Crimes,Social Media Harassment,Mangaluru District Court,2026-07-01 01:58:00,2026-07-01 02:35:00,2026-07-02 20:38:33
2292,INDR-0040/2026,"On 01/07/2026, the complainant stated that the accused induced him to pay Rs. 306,000 towards booking a site at Yeshwanthpur, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Indiranagar is closed.",FIR,2026-07-01,Bengaluru City,Indiranagar PS,Under Investigation,12.920673,77.608888,Non-Heinous,Economic Offences,Cheating,Bengaluru City District Court,2026-07-01 09:00:00,2026-07-01 10:24:00,2026-07-01 23:58:02
2293,YSHW-0035/2026,"On 01/07/2026, the complainant stated that the accused induced him to pay Rs. 288,000 towards booking a site at Whitefield, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Yeshwanthpur is closed.",FIR,2026-07-03,Bengaluru City,Yeshwanthpur PS,Under Investigation,13.020595,77.534473,Non-Heinous,Economic Offences,Cheating,Bengaluru City District Court,2026-07-01 14:37:00,2026-07-01 16:31:00,2026-07-02 03:57:20
2294,KDRK-0007/2026,"On 01/07/2026 around 4:00 AM, three unknown persons armed with knives waylaid the complainant near the market road in Kadri and robbed him of cash Rs. 19,000, a gold ring and his mobile phone. The accused threatened him with dire consequences before escaping on a blue Activa scooter.",FIR,2026-07-02,Mangaluru,Kadri PS,Under Investigation,12.89779,74.824093,Non-Heinous,Property Crimes,Robbery,Mangaluru District Court,2026-07-01 04:36:00,2026-07-01 04:52:00,2026-07-02 16:06:23
2295,STTN-0012/2026,"The complainant, a college student from Station Bazar, reported on 02/07/2026 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 3:30 PM and continues to be active despite reporting.",FIR,2026-07-05,Kalaburagi,Station Bazar PS,Closed,17.269404,76.795935,Non-Heinous,Cyber Crimes,Social Media Harassment,Kalaburagi District Court,2026-07-02 15:38:00,2026-07-02 18:08:00,2026-07-04 12:22:05
2296,YSHW-0036/2026,"The complainant reported theft of his black Pulsar motorcycle from the paid parking lot near the Yeshwanthpur railway station on 02/07/2026 around 3:15 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 95,000.",FIR,2026-07-05,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,13.002522,77.525881,Non-Heinous,Property Crimes,Vehicle Theft,Bengaluru City District Court,2026-07-02 03:14:00,2026-07-02 03:55:00,2026-07-03 17:30:13
2297,YSHW-0037/2026,"The branch manager of a nationalised bank at Yeshwanthpur reported on 02/07/2026 that an account holder, in collusion with an insider, discounted forged cheques and siphoned Rs. 860,000 across multiple transactions around 3:30 AM. Internal audit flagged the irregularity.",FIR,2026-07-03,Bengaluru City,Yeshwanthpur PS,Under Investigation,13.015374,77.606225,Non-Heinous,Economic Offences,Bank Fraud,Bengaluru City District Court,2026-07-02 03:45:00,2026-07-02 05:08:00,2026-07-03 14:55:36
2298,MLPM-0008/2026,"On 02/07/2026, the complainant reported that morphed photographs of her were being circulated on social media by an account demanding money to take them down. She resides in Malpe and suspects a former colleague. Preservation requests have been sent to the platform.",FIR,2026-07-02,Udupi,Malpe PS,Closed,13.374909,74.738242,Non-Heinous,Cyber Crimes,Social Media Harassment,Udupi District Court,2026-07-02 19:16:00,2026-07-02 19:44:00,2026-07-02 21:03:34
2299,PNMB-0007/2026,"On credible information, police intercepted a blue Activa scooter near Panambur on 02/07/2026 around 4:30 PM and seized LSD strips and MDMA crystals worth Rs. 339,000 from the rider. The accused was supplying synthetic drugs to students around Barke. Forward and backward linkages are being investigated.",FIR,2026-07-06,Mangaluru,Panambur PS,Under Investigation,12.958049,74.865884,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2026-07-02 16:49:00,2026-07-02 18:16:00,2026-07-04 08:02:49
2300,SRTH-0013/2026,"On credible information, police intercepted a black Apache motorcycle near Surathkal on 02/07/2026 around 9:00 AM and seized LSD strips and MDMA crystals worth Rs. 856,000 from the rider. The accused was supplying synthetic drugs to students around Kadri. Forward and backward linkages are being investigated.",FIR,2026-07-03,Mangaluru,Surathkal PS,Under Investigation,12.862147,74.799607,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2026-07-02 09:31:00,2026-07-02 11:19:00,2026-07-03 07:51:00
2301,KRMN-0042/2026,"The complainant reported that while shopping at the Koramangala market on 03/07/2026 around 7:00 AM, an unknown person snatched her mobile phone worth Rs. 59,000 and disappeared into the crowd towards Jayanagar.",FIR,2026-07-04,Bengaluru City,Koramangala PS,Under Investigation,13.021025,77.604545,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2026-07-03 07:00:00,2026-07-03 07:50:00,2026-07-04 17:19:01
2302,GNDH-0013/2026,"On 03/07/2026 around 12:45 PM, following a dispute over parking near the college gate in Gandhi Chowk, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2026-07-05,Vijayapura,Gandhi Chowk PS,Under Investigation,16.844176,75.756182,Non-Heinous,Crimes Against Body,Assault,Vijayapura District Court,2026-07-03 12:34:00,2026-07-03 15:25:00,2026-07-05 02:48:34
2303,PNMB-0008/2026,"On 03/07/2026 around 4:00 PM, on credible information, the police intercepted a person near the metro station in Panambur and on search found 12 kg of ganja concealed in a gunny bag intended for sale to local youth. The contraband was seized under a mahazar and the accused was arrested on the spot.",Zero FIR,2026-07-04,Mangaluru,Panambur PS,Under Investigation,12.886762,74.819811,Non-Heinous,Narcotics,Ganja Possession,Mangaluru District Court,2026-07-03 16:52:00,2026-07-03 20:51:00,2026-07-04 19:03:13
2304,JYNG-0026/2026,"On 04/07/2026 around 3:45 AM, on credible information, the police intercepted a person near the main road junction in Jayanagar and on search found 4 kg of ganja concealed in a gunny bag intended for sale to local youth. The contraband was seized under a mahazar and the accused was arrested on the spot.",FIR,2026-07-05,Bengaluru City,Jayanagar PS,Under Investigation,12.962961,77.560353,Non-Heinous,Narcotics,Ganja Possession,Bengaluru City District Court,2026-07-04 03:50:00,2026-07-04 06:23:00,2026-07-04 21:03:59
2305,KVMP-0011/2026,"The complainant reported that when the family returned to their house in Kuvempunagar on 04/07/2026, the main door latch was found broken and gold jewellery, a laptop and cash amounting to Rs. 243,000 were missing. Entry appears to have been made around 11:30 PM through the terrace door.",FIR,2026-07-06,Mysuru,Kuvempunagar PS,Closed,12.245752,76.634704,Non-Heinous,Property Crimes,House Burglary,Mysuru District Court,2026-07-04 23:12:00,2026-07-05 00:43:00,2026-07-06 20:34:02
2306,CBBN-0036/2026,"On 04/07/2026 around 8:45 AM, on credible information, the police intercepted a person near the temple street in Cubbon Park and on search found 16 kg of ganja concealed in a gunny bag intended for sale to local youth. The contraband was seized under a mahazar and the accused was arrested on the spot.",FIR,2026-07-05,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.97204,77.563906,Non-Heinous,Narcotics,Ganja Possession,Bengaluru City District Court,2026-07-04 08:33:00,2026-07-04 10:45:00,2026-07-05 07:09:25
2307,DDDP-0008/2026,"Acting on a tip-off, a raid was conducted on 04/07/2026 around 11:15 AM at a rented room in Doddapete where 6 kg of ganja packed in small pouches was recovered along with cash of Rs. 38,000. The accused was peddling near the Vinoba Nagar college campus.",FIR,2026-07-07,Shivamogga,Doddapete PS,Under Investigation,13.958399,75.604283,Non-Heinous,Narcotics,Ganja Possession,Shivamogga District Court,2026-07-04 11:22:00,2026-07-04 11:32:00,2026-07-06 10:03:16
2308,VDYN-0009/2026,"On 04/07/2026 around 5:00 PM, about 148 persons assembled unlawfully near the college gate in Vidyanagar in violation of prohibitory orders, blocking the highway and raising slogans over a civic issue. The assembly was dispersed and ringleaders were identified from video footage.",FIR,2026-07-05,Hubballi-Dharwad,Vidyanagar PS,Charge Sheeted,15.403121,75.161691,Non-Heinous,Public Order,Unlawful Assembly,Hubballi-Dharwad District Court,2026-07-04 17:43:00,2026-07-04 19:58:00,2026-07-05 05:45:01
2309,KVMP-0012/2026,"On 05/07/2026 around 11:00 PM, an unknown white Innova car moving at high speed knocked down a pedestrian crossing the road near the college gate in Kuvempunagar and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",Zero FIR,2026-07-06,Mysuru,Kuvempunagar PS,Under Investigation,12.280472,76.668918,Non-Heinous,Road Incidents,Hit and Run,Mysuru District Court,2026-07-05 23:11:00,2026-07-06 03:07:00,2026-07-06 07:22:47
2310,KVMP-0013/2026,"On 05/07/2026, a black Scorpio SUV parked near the main road junction in Kuvempunagar was stolen by unknown persons around 12:15 AM. CCTV footage shows two men tampering with the door lock before driving away towards Saraswathipuram. The vehicle bears a Karnataka registration.",FIR,2026-07-06,Mysuru,Kuvempunagar PS,Charge Sheeted,12.263112,76.635065,Non-Heinous,Property Crimes,Vehicle Theft,Mysuru District Court,2026-07-05 00:41:00,2026-07-05 01:15:00,2026-07-06 10:56:07
2311,KNKP-0005/2026,"Several depositors of Kanakapura Road reported that a chit-fund company collected deposits promising 19% annual interest and doubled-money schemes. On 05/07/2026 the office was found locked and the promoters absconding with public deposits estimated at Rs. 26,730,000.",FIR,2026-07-08,Ramanagara,Kanakapura Road PS,Under Investigation,12.760785,77.291174,Non-Heinous,Economic Offences,Ponzi Scheme,Ramanagara District Court,2026-07-05 14:26:00,2026-07-05 14:44:00,2026-07-07 09:20:45
2312,CBBN-0037/2026,"On 05/07/2026, the complainant reported that morphed photographs of her were being circulated on social media by an account demanding money to take them down. She resides in Cubbon Park and suspects a former colleague. Preservation requests have been sent to the platform.",FIR,2026-07-07,Bengaluru City,Cubbon Park PS,Under Investigation,13.020616,77.620455,Non-Heinous,Cyber Crimes,Social Media Harassment,Bengaluru City District Court,2026-07-05 10:32:00,2026-07-05 12:10:00,2026-07-06 16:27:06
2313,NTTV-0008/2026,"The complainant reported theft of his grey KTM motorcycle from the paid parking lot near the Nittuvalli railway station on 05/07/2026 around 3:30 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 83,000.",FIR,2026-07-05,Davanagere,Nittuvalli PS,Under Investigation,14.487073,75.936919,Non-Heinous,Property Crimes,Vehicle Theft,Davanagere District Court,2026-07-05 03:34:00,2026-07-05 06:07:00,2026-07-05 18:34:40
2314,BRKB-0009/2026,"On credible information, police intercepted a red Splendor motorcycle near Barke on 05/07/2026 around 2:15 PM and seized LSD strips and MDMA crystals worth Rs. 555,000 from the rider. The accused was supplying synthetic drugs to students around Panambur. Forward and backward linkages are being investigated.",FIR,2026-07-05,Mangaluru,Barke PS,Under Investigation,12.943486,74.864397,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2026-07-05 14:59:00,2026-07-05 17:29:00,2026-07-05 23:34:58
2315,JYNG-0027/2026,"On 06/07/2026 around 1:00 PM, the complainant, a resident of Jayanagar, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 202,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2026-07-06,Bengaluru City,Jayanagar PS,Charge Sheeted,12.96043,77.531304,Non-Heinous,Cyber Crimes,OTP Fraud,Bengaluru City District Court,2026-07-06 13:49:00,2026-07-06 16:10:00,2026-07-06 17:46:13
2316,BRHM-0010/2026,"On 06/07/2026 around 12:15 PM, following a dispute over parking near the market road in Brahmpur, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2026-07-07,Kalaburagi,Brahmpur PS,Closed,17.313036,76.879323,Non-Heinous,Crimes Against Body,Assault,Kalaburagi District Court,2026-07-06 12:24:00,2026-07-06 13:22:00,2026-07-07 06:56:33
2317,GKLR-0008/2026,"On credible information, police intercepted a black Apache motorcycle near Gokul Road on 06/07/2026 around 6:00 PM and seized LSD strips and MDMA crystals worth Rs. 784,000 from the rider. The accused was supplying synthetic drugs to students around Old Hubballi. Forward and backward linkages are being investigated.",FIR,2026-07-06,Hubballi-Dharwad,Gokul Road PS,Under Investigation,15.333953,75.076221,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Hubballi-Dharwad District Court,2026-07-06 18:08:00,2026-07-06 21:59:00,2026-07-06 23:45:25
2318,DHRW-0011/2026,"On 06/07/2026 around 3:00 PM, the complainant's son was forcibly taken into a silver Swift car by three unknown persons near Dharwad Town. A ransom call demanding Rs. 1,767,000 was received the same evening from an unregistered number. Technical teams are tracing the call.",FIR,2026-07-10,Hubballi-Dharwad,Dharwad Town PS,Under Investigation,15.342523,75.11639,Heinous,Crimes Against Body,Kidnapping,Hubballi-Dharwad District Court,2026-07-06 15:35:00,2026-07-06 17:56:00,2026-07-08 13:10:35
2319,VNBN-0008/2026,"On the night of 06/07/2026, unknown persons broke the rear door lock of the complainant's residence in Vinoba Nagar and committed theft of gold ornaments and cash totalling Rs. 405,000 while the family was away at their native place. Neighbours reported a grey Bolero pickup parked near the gate around 2:30 AM.",FIR,2026-07-07,Shivamogga,Vinoba Nagar PS,Under Investigation,13.900307,75.562048,Non-Heinous,Property Crimes,House Burglary,Shivamogga District Court,2026-07-06 02:36:00,2026-07-06 03:49:00,2026-07-07 19:37:52
2320,JRPR-0009/2026,"On 07/07/2026 around 10:45 PM, the complainant's mobile phone worth Rs. 58,000 was stolen from his pocket while boarding a crowded bus near the vegetable market in Jorapur Peth. The IMEI number has been noted for tracking.",FIR,2026-07-08,Vijayapura,Jorapur Peth PS,Charge Sheeted,16.764152,75.725188,Non-Heinous,Property Crimes,Mobile Phone Theft,Vijayapura District Court,2026-07-07 22:52:00,2026-07-08 02:04:00,2026-07-08 11:44:16
2321,JRPR-0010/2026,"Patrol staff noticed a black Apache motorcycle being ridden around 9:45 PM on 07/07/2026 in a zig-zag manner at high speed near Jorapur Peth, performing wheelies amid traffic. The rider, without a valid licence, was intercepted after a short chase near Adarsh Nagar.",FIR,2026-07-10,Vijayapura,Jorapur Peth PS,Under Investigation,16.766784,75.734029,Non-Heinous,Road Incidents,Rash Driving,Vijayapura District Court,2026-07-07 21:36:00,2026-07-07 22:18:00,2026-07-09 10:43:50
2322,CBBN-0038/2026,"On 07/07/2026 around 4:30 PM, the complainant, a resident of Cubbon Park, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 322,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2026-07-08,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.96966,77.53476,Non-Heinous,Cyber Crimes,OTP Fraud,Bengaluru City District Court,2026-07-07 16:55:00,2026-07-07 18:00:00,2026-07-08 10:01:58
2323,KDRK-0008/2026,"On credible information, police intercepted a black Pulsar motorcycle near Kadri on 07/07/2026 around 2:00 AM and seized LSD strips and MDMA crystals worth Rs. 601,000 from the rider. The accused was supplying synthetic drugs to students around Ullal. Forward and backward linkages are being investigated.",FIR,2026-07-08,Mangaluru,Kadri PS,Under Investigation,12.881466,74.833614,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2026-07-07 02:30:00,2026-07-07 02:32:00,2026-07-07 12:15:14
2324,KPKA-0007/2026,"The complainant reported that on 07/07/2026 around 5:30 PM his neighbour in Kaup, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2026-07-08,Udupi,Kaup PS,Charge Sheeted,13.374303,74.736192,Non-Heinous,Crimes Against Body,Assault,Udupi District Court,2026-07-07 17:55:00,2026-07-07 20:51:00,2026-07-08 11:15:56
2325,CBBN-0039/2026,"The complainant reported that on 07/07/2026 around 1:45 PM, while waiting near the vegetable market in Cubbon Park, the accused passed lewd remarks and attempted to grab her hand despite her protests. Onlookers intervened and the accused fled towards Yeshwanthpur.",FIR,2026-07-08,Bengaluru City,Cubbon Park PS,Closed,12.980822,77.524378,Non-Heinous,Crimes Against Women,Harassment,Bengaluru City District Court,2026-07-07 13:17:00,2026-07-07 13:22:00,2026-07-08 03:46:02
2326,SRTH-0014/2026,"On 07/07/2026 around 11:30 AM, on credible information, the police intercepted a person near the metro station in Surathkal and on search found 11 kg of ganja concealed in a gunny bag intended for sale to local youth. The contraband was seized under a mahazar and the accused was arrested on the spot.",Zero FIR,2026-07-09,Mangaluru,Surathkal PS,Under Investigation,12.892333,74.823224,Non-Heinous,Narcotics,Ganja Possession,Mangaluru District Court,2026-07-07 11:57:00,2026-07-07 13:10:00,2026-07-07 18:38:54
2327,BDDB-0006/2026,"The complainant reported theft of his black Apache motorcycle from the paid parking lot near the Bidadi railway station on 08/07/2026 around 12:45 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 110,000.",UDR,2026-07-09,Ramanagara,Bidadi PS,Under Investigation,12.76466,77.307161,Non-Heinous,Property Crimes,Vehicle Theft,Ramanagara District Court,2026-07-08 00:51:00,2026-07-08 02:01:00,2026-07-09 05:35:26
2328,VNBN-0009/2026,"On credible information, police intercepted a grey KTM motorcycle near Vinoba Nagar on 08/07/2026 around 6:15 PM and seized LSD strips and MDMA crystals worth Rs. 598,000 from the rider. The accused was supplying synthetic drugs to students around Tilak Nagar. Forward and backward linkages are being investigated.",FIR,2026-07-10,Shivamogga,Vinoba Nagar PS,Under Investigation,13.904759,75.552591,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Shivamogga District Court,2026-07-08 18:41:00,2026-07-08 19:20:00,2026-07-09 10:02:03
2329,LSHK-0020/2026,"On 09/07/2026 around 7:30 PM, three unknown persons armed with knives waylaid the complainant near the main road junction in Lashkar and robbed him of cash Rs. 67,000, a gold ring and his mobile phone. The accused threatened him with dire consequences before escaping on a grey KTM motorcycle.",FIR,2026-07-10,Mysuru,Lashkar PS,Under Investigation,12.254356,76.592997,Non-Heinous,Property Crimes,Robbery,Mysuru District Court,2026-07-09 19:44:00,2026-07-09 22:34:00,2026-07-10 19:06:24
2330,CBBN-0040/2026,"On 09/07/2026 around 1:15 PM, the complainant, a resident of Cubbon Park, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 62,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2026-07-11,Bengaluru City,Cubbon Park PS,Closed,12.992741,77.519842,Non-Heinous,Cyber Crimes,OTP Fraud,Bengaluru City District Court,2026-07-09 13:15:00,2026-07-09 16:03:00,2026-07-11 00:08:57
2331,CHWK-0010/2026,"On 09/07/2026, the complainant reported that an online acquaintance induced her to invest in a fake cryptocurrency platform showing fabricated profits. She invested Rs. 940,000 in tranches from her account in Chowk. The platform domain was registered abroad and has since gone offline.",FIR,2026-07-09,Kalaburagi,Chowk PS,Under Investigation,17.313316,76.872955,Non-Heinous,Cyber Crimes,Investment Scam,Kalaburagi District Court,2026-07-09 14:09:00,2026-07-09 14:39:00,2026-07-09 21:10:57
2332,DVRJ-0011/2026,"Following a dispute during a local procession on 09/07/2026 around 5:30 PM, members of two communities gathered at Devaraja armed with sticks and stones and indulged in rioting, injuring 2 persons including a police constable. Prohibitory orders were promulgated.",FIR,2026-07-11,Mysuru,Devaraja PS,Charge Sheeted,12.235058,76.604761,Non-Heinous,Public Order,Rioting,Mysuru District Court,2026-07-09 17:40:00,2026-07-09 18:29:00,2026-07-11 01:05:59
2333,PNMB-0009/2026,"On 09/07/2026 around 7:15 PM, a special team laid a trap near the metro station in Panambur and apprehended a peddler with 71 MDMA pills and 40 grams of hydro ganja meant for circulation at parties. Mobile phones recovered indicate contacts with an inter-state supplier.",FIR,2026-07-10,Mangaluru,Panambur PS,Under Investigation,12.883066,74.823805,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2026-07-09 19:33:00,2026-07-09 22:23:00,2026-07-10 17:50:12
2334,LSHK-0021/2026,"On 10/07/2026 around 11:15 PM, an elderly woman on her morning walk near the park entrance, Lashkar was targeted by a chain snatcher on a grey KTM motorcycle who fled towards the Devaraja ring road with her gold chain worth Rs. 41,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2026-07-12,Mysuru,Lashkar PS,Under Investigation,12.322299,76.662959,Non-Heinous,Property Crimes,Chain Snatching,Mysuru District Court,2026-07-10 23:49:00,2026-07-11 00:32:00,2026-07-11 18:13:17
2335,GNDH-0014/2026,"The complainant reported that on 10/07/2026 around 10:45 AM his neighbour in Gandhi Chowk, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2026-07-11,Vijayapura,Gandhi Chowk PS,Under Investigation,16.902539,75.69287,Non-Heinous,Crimes Against Body,Assault,Vijayapura District Court,2026-07-10 10:34:00,2026-07-10 12:13:00,2026-07-10 19:23:50
2336,KHDB-0006/2026,"The complainant of Khade Bazar was added to a trading group on a messaging app in which fraudsters promised 23% monthly returns on stock investments. Between 11/07/2026 and the following weeks he transferred Rs. 1,377,000 to various UPI IDs. When he attempted to withdraw, the app was disabled and the group deleted.",FIR,2026-07-14,Belagavi,Khade Bazar PS,Under Investigation,15.798859,74.454435,Non-Heinous,Cyber Crimes,Investment Scam,Belagavi District Court,2026-07-11 21:47:00,2026-07-12 01:34:00,2026-07-13 13:56:29
2337,YSHW-0038/2026,"On credible information, police intercepted a blue Activa scooter near Yeshwanthpur on 11/07/2026 around 6:45 PM and seized LSD strips and MDMA crystals worth Rs. 726,000 from the rider. The accused was supplying synthetic drugs to students around Jayanagar. Forward and backward linkages are being investigated.",FIR,2026-07-12,Bengaluru City,Yeshwanthpur PS,Under Investigation,13.007025,77.616251,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Bengaluru City District Court,2026-07-11 18:12:00,2026-07-11 22:03:00,2026-07-11 23:13:49
2338,SRGT-0014/2026,"The complainant, a college student from Sira Gate, reported on 11/07/2026 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 10:15 PM and continues to be active despite reporting.",FIR,2026-07-13,Tumakuru,Sira Gate PS,Closed,13.312175,77.144417,Non-Heinous,Cyber Crimes,Social Media Harassment,Tumakuru District Court,2026-07-11 22:37:00,2026-07-12 00:15:00,2026-07-13 00:49:36
2339,INDR-0041/2026,"On 11/07/2026 around 12:45 PM, about 187 persons assembled unlawfully near the temple street in Indiranagar in violation of prohibitory orders, blocking the highway and raising slogans over a civic issue. The assembly was dispersed and ringleaders were identified from video footage.",FIR,2026-07-13,Bengaluru City,Indiranagar PS,Under Investigation,12.923116,77.614565,Non-Heinous,Public Order,Unlawful Assembly,Bengaluru City District Court,2026-07-11 12:56:00,2026-07-11 15:45:00,2026-07-13 06:04:02
2340,MSKM-0012/2026,"On 11/07/2026 around 6:30 PM, an unknown black Scorpio SUV moving at high speed knocked down a pedestrian crossing the road near the metro station in MSK Mill and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",FIR,2026-07-14,Kalaburagi,MSK Mill PS,Under Investigation,17.283995,76.897578,Non-Heinous,Road Incidents,Hit and Run,Kalaburagi District Court,2026-07-11 18:23:00,2026-07-11 19:02:00,2026-07-13 11:13:40
2341,YSHW-0039/2026,"On 11/07/2026 around 7:30 PM, the complainant was walking near the main road junction in Yeshwanthpur when two unidentified men on a grey KTM motorcycle approached from behind and snatched her gold chain of 38 grams worth Rs. 136,000. The riders sped away towards Cubbon Park before anyone could note the registration number.",FIR,2026-07-12,Bengaluru City,Yeshwanthpur PS,Under Investigation,12.913895,77.558198,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2026-07-11 19:11:00,2026-07-11 22:25:00,2026-07-12 23:40:33
2342,BTHR-0011/2026,"The complainant, a petrol bunk employee at Bethur Road, reported that around 12:00 PM on 12/07/2026 two masked men brandishing a machete robbed the day's collection of Rs. 135,000 and fled in a white van towards KTJ Nagar. One of the accused appeared to know the cash-handover routine.",FIR,2026-07-14,Davanagere,Bethur Road PS,Under Investigation,14.459445,75.874606,Heinous,Property Crimes,Robbery,Davanagere District Court,2026-07-12 12:45:00,2026-07-12 13:08:00,2026-07-13 18:23:34
2343,WHTF-0052/2026,"On 12/07/2026 around 11:30 AM, about 167 persons assembled unlawfully near the bus stop in Whitefield in violation of prohibitory orders, blocking the highway and raising slogans over a civic issue. The assembly was dispersed and ringleaders were identified from video footage.",Zero FIR,2026-07-13,Bengaluru City,Whitefield PS,Under Investigation,13.001066,77.617441,Non-Heinous,Public Order,Unlawful Assembly,Bengaluru City District Court,2026-07-12 11:24:00,2026-07-12 14:41:00,2026-07-13 08:04:30
2344,JYNG-0028/2026,"On 12/07/2026 around 6:00 PM, the complainant was walking near the temple street in Jayanagar when two unidentified men on a grey KTM motorcycle approached from behind and snatched her gold chain of 46 grams worth Rs. 51,000. The riders sped away towards Yeshwanthpur before anyone could note the registration number.",FIR,2026-07-15,Bengaluru City,Jayanagar PS,Charge Sheeted,13.008306,77.618071,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2026-07-12 18:32:00,2026-07-12 21:42:00,2026-07-13 23:20:34
2345,TMKR-0007/2026,"The complainant, a resident of Tumakuru Town, reported that while returning from the market around 6:30 AM on 13/07/2026, the pillion rider of a blue Activa scooter without number plates snatched her mangalsutra valued at Rs. 72,000. She sustained minor abrasions on the neck. CCTV footage of nearby shops is being collected.",FIR,2026-07-14,Tumakuru,Tumakuru Town PS,Under Investigation,13.292656,77.134709,Non-Heinous,Property Crimes,Chain Snatching,Tumakuru District Court,2026-07-13 06:37:00,2026-07-13 09:26:00,2026-07-14 22:00:06
2346,WHTF-0053/2026,"On 13/07/2026 around 3:30 PM, an elderly woman on her morning walk near the vegetable market, Whitefield was targeted by a chain snatcher on a red Splendor motorcycle who fled towards the Yeshwanthpur ring road with her gold chain worth Rs. 73,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2026-07-14,Bengaluru City,Whitefield PS,Under Investigation,12.91793,77.543726,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2026-07-13 15:53:00,2026-07-13 17:06:00,2026-07-14 00:43:07
